seed,noise_level,true_degree,true_coefficients,selected_degree,selected_coefficients,c1,c2,source_file,true_coeff_0,true_coeff_1,true_coeff_2,true_coeff_3,true_coeff_4,true_coeff_5,true_coeff_6,imse,imae,maxerr,metrics_success
3837,high,1,"[-5.050210541957636, -10.11730903030757]",1,"[-4.92494559999528, -10.194271119210796]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-5.050210541957636,-10.11730903030757,,,,,,0.008025041794517395,0.08678389751074257,0.12526448320204242,True
3838,high,1,"[8.042897892411036, 8.401361973930737]",1,"[8.504247625705297, 8.131243729141916]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_high.csv,8.042897892411036,8.401361973930737,,,,,,0.1125458849420472,0.3262906108998507,0.46134812315695406,True
3839,high,1,"[-4.920933647565823, 8.050839149734678]",1,"[-4.498639891945213, 7.321593471228499]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,-4.920933647565823,8.050839149734678,,,,,,0.0476425395629977,0.18687221080335714,0.4222894086884956,True
3840,high,1,"[-4.694185334291922, 7.286180809108438]",1,"[-4.629020629618981, 7.235060432248469]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-4.694185334291922,7.286180809108438,,,,,,0.0017862921176974168,0.03960451624295706,0.06516439995148104,True
3841,high,1,"[13.233948274670718, 8.639812989891269]",1,"[13.290453320570727, 8.517346801961198]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,13.233948274670718,8.639812989891269,,,,,,0.0012721850373488156,0.03079909431289838,0.06596041202613634,True
3842,high,1,"[-7.145176586504898, 8.000064981373963]",2,"[-6.366052499485732, 1.6386053488377847, 6.9670572171051]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-7.145176586504898,8.000064981373963,,,,,,0.30650949364301366,0.4785333428023804,0.6730015162065515,True
3843,high,1,"[4.814064239771521, 5.392163569215705]",1,"[5.454249878317307, 4.800209429214273]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_high.csv,4.814064239771521,5.392163569215705,,,,,,0.14768034731524876,0.34420856854506954,0.6401821099894471,True
3844,high,1,"[7.992930881197582, 4.894026156108447]",1,"[7.989333293296215, 4.966052843141273]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,7.992930881197582,4.894026156108447,,,,,,0.001483101515838107,0.032595449738108344,0.06842866979039108,True
3845,high,1,"[12.118355321775988, -5.55547933238277]",1,"[12.270752280431164, -6.135442319476685]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,12.118355321775988,-5.55547933238277,,,,,,0.046959259774629204,0.17762993556606962,0.42756257135999576,True
3846,high,1,"[-6.653981324219706, 9.04792140531117]",2,"[-4.695661240601641, 1.3436511011952412, 6.2798342551109405]",0.0,1.0,polynomial_params_deg1_noise_level_high.csv,-6.653981324219706,9.04792140531117,,,,,,0.42796099019689016,0.47335821625163943,0.40463164837131504,True
3847,high,1,"[-14.375236758358184, 6.0423933285894025]",5,"[-9.598953891164706, -72.16499340398272, 414.5138507785789, -911.4983055030008, 876.348436288206, -304.84897751710326]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,-14.375236758358184,6.0423933285894025,,,,,,0.8185342889894138,0.5810384913457501,0.8036095232627574,True
3848,high,1,"[-4.695915937181098, 6.203617646242093]",1,"[-4.677759265932003, 5.897358509571833]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_high.csv,-4.695915937181098,6.203617646242093,,,,,,0.02603390451396495,0.136049321909786,0.2881006398530248,True
3849,high,1,"[-4.356218995523956, -5.064874768047401]",1,"[-4.193043494958252, -5.7386719241996085]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,-4.356218995523956,-5.064874768047401,,,,,,0.06801325829625092,0.21323978316391237,0.5106176391753223,True
3850,high,1,"[13.94557307962631, 6.272998283603019]",1,"[13.728602129500759, 6.3292272112282415]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_high.csv,13.94557307962631,6.272998283603019,,,,,,0.03593024678095977,0.18885648631293966,0.2169706149527304,True
3851,high,1,"[4.600389918739095, 6.780717663420464]",2,"[4.478593941549705, 9.777888032379085, -3.1255430961367043]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,4.600389918739095,6.780717663420464,,,,,,0.16783144195748964,0.3603446625640501,0.5967215687426215,True
3852,high,1,"[6.700025759260563, 7.753182432211715]",2,"[6.140686257385328, 10.761694960172035, -2.7691910727911075]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,6.700025759260563,7.753182432211715,,,,,,0.04785278217081912,0.1878914522528071,0.2577897059850418,True
3853,high,1,"[-4.004599970168464, -5.969258596733281]",1,"[-4.242751264643355, -5.896150411892183]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,-4.004599970168464,-5.969258596733281,,,,,,0.04108683243370276,0.20159720205434248,0.238150858687165,True
3854,high,1,"[-6.067638908453647, 6.772715475580502]",1,"[-6.090131751937775, 6.783363302347657]",0.5,0.5,polynomial_params_deg1_noise_level_high.csv,-6.067638908453647,6.772715475580502,,,,,,0.0003042201787028588,0.017168930100550255,0.02249278001391275,True
3855,high,1,"[6.588450798679982, 6.568872324642901]",2,"[4.867904583574718, 13.604849479343128, -5.671097208379002]",1.0,0.0,polynomial_params_deg1_noise_level_high.csv,6.588450798679982,6.568872324642901,,,,,,0.34255032321869333,0.444324130969565,0.4617904960482786,True
3856,high,1,"[6.638197229152833, -7.931299005766808]",1,"[6.519764341788603, -7.8823027161556825]",0.2,0.8,polynomial_params_deg1_noise_level_high.csv,6.638197229152833,-7.931299005766808,,,,,,0.009023788892534464,0.09393474255866693,0.11843259530415828,True
3857,high,1,"[6.448574394852672, -6.561041353526981]",1,"[6.0431207154832025, -6.052143547674504]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_high.csv,6.448574394852672,-6.561041353526981,,,,,,0.04438385724212564,0.17203195904476642,0.4054506459003928,True
3858,high,1,"[-7.657590523392943, -6.174273420896284]",1,"[-7.660974974727242, -6.045760481835899]",0.8,0.2,polynomial_params_deg1_noise_level_high.csv,-7.657590523392943,-6.174273420896284,,,,,,0.005081700558069349,0.060961161811351895,0.12512772167832154,True
