true_degree,noise_level,method_pol,metric,p_raw,p_holm
4,high,loocv,imse,4.961960352855529e-06,0.00016374469164423246
4,high,loocv,imae,9.93622956196965e-08,5.166839372224218e-06
4,high,loocv,maxerr,4.4109036495174104e-10,3.793377138584973e-08
4,high,silverman,imse,0.07748674380634009,0.07748674380634009
4,high,silverman,imae,0.0024714584951541704,0.014828750970925023
4,high,silverman,maxerr,0.0003605475393784771,0.004647037453793224
4,low,cv,imse,7.510636800388044e-10,6.308934912325957e-08
4,low,cv,imae,2.163530052238061e-08,1.2981180313428366e-06
4,low,cv,maxerr,2.0756812845084075e-10,1.930383594592819e-08
4,low,loocv,imse,2.290864037058284e-10,2.107594914093621e-08
4,low,loocv,imae,1.1716821661829502e-08,8.084606946662357e-07
4,low,loocv,maxerr,1.9010769531753672e-10,1.787012335984845e-08
4,low,silverman,imse,9.744432187259655e-16,1.354476074029092e-13
4,low,silverman,imae,1.9253321903588257e-15,2.6377051007915914e-13
4,low,silverman,maxerr,3.1885966638033106e-15,4.2727195294964364e-13
4,moderate,cv,imse,3.285072521996617e-10,2.8908638193570227e-08
4,moderate,cv,imae,6.882800047697047e-09,5.024444034818844e-07
4,moderate,cv,maxerr,3.1955458488530205e-10,2.844035805479188e-08
4,moderate,loocv,imse,2.5448957602937326e-09,1.9850186930291115e-07
4,moderate,loocv,imae,9.04751338809582e-08,4.795182095690785e-06
4,moderate,loocv,maxerr,4.4222612960017964e-09,3.3166959720013475e-07
4,moderate,silverman,imse,1.2052196247330827e-08,8.195493448184962e-07
4,moderate,silverman,imae,1.511416706337654e-08,9.673066920560985e-07
4,moderate,silverman,maxerr,6.972454959323078e-11,7.0421795089163085e-09
5,high,cv,imse,6.861261860902091e-08,3.842306642105171e-06
5,high,cv,imae,2.054991730666882e-08,1.253544955706798e-06
5,high,cv,maxerr,1.1275997349526035e-11,1.1839797217002336e-09
5,high,loocv,imse,6.932200857947704e-07,2.9808463689175127e-05
5,high,loocv,imae,2.506395904871118e-07,1.2531979524355589e-05
5,high,loocv,maxerr,1.333818027762626e-10,1.280465306652121e-08
5,high,silverman,imse,0.0005493159854553972,0.005649338594628746
5,high,silverman,imae,7.274418030561269e-05,0.0018186045076403173
5,high,silverman,maxerr,2.2865551030320662e-05,0.0006859665309096199
5,low,cv,imse,5.409809171620123e-12,5.842593905349734e-10
5,low,cv,imae,1.3891663103070563e-12,1.5697579306469737e-10
5,low,cv,maxerr,5.210484389152041e-15,6.773629705897653e-13
5,low,loocv,imse,1.2094642791414897e-15,1.669060705215256e-13
5,low,loocv,imae,1.9042473955870103e-16,2.6849888277776846e-14
5,low,loocv,maxerr,4.948259251767012e-15,6.482219619814786e-13
5,low,silverman,imse,3.050602277169498e-24,4.545397392982552e-22
5,low,silverman,imae,1.2383859802577726e-24,1.8699628301892367e-22
5,low,silverman,maxerr,1.622110392398973e-26,2.5629344199903775e-24
5,moderate,cv,imse,1.8970571247296401e-13,2.2764685496755682e-11
5,moderate,cv,imae,1.800936127542481e-12,1.999039101572154e-10
5,moderate,cv,maxerr,9.721240427355571e-14,1.1957125725647352e-11
5,moderate,loocv,imse,3.663688981868848e-10,3.1874094142258973e-08
5,moderate,loocv,imae,4.798154703215153e-09,3.5506344803792137e-07
5,moderate,loocv,maxerr,4.913326079860923e-13,5.6994582526386713e-11
5,moderate,silverman,imse,1.1848384994481007e-13,1.4455029693266828e-11
5,moderate,silverman,imae,6.741346869093974e-15,8.628923992440287e-13
5,moderate,silverman,maxerr,6.1166813857509805e-18,8.746854381623902e-16
6,high,cv,imse,4.1567463254378004e-05,0.0011638889711225841
6,high,cv,imae,2.5077128923009052e-05,0.0007272367387672626
6,high,cv,maxerr,8.099148915749222e-08,4.454531903662072e-06
6,high,loocv,imse,0.0011542014617895223,0.00827221288474786
6,high,loocv,imae,0.0010340266105934824,0.00827221288474786
6,high,loocv,maxerr,4.090924685887433e-06,0.0001390914393201727
6,high,silverman,imse,0.00023647000955758944,0.00425646017203661
6,high,silverman,imae,0.00019321377594517012,0.0038642755189034024
6,high,silverman,maxerr,1.6974433215903178e-06,6.62002895420224e-05
6,low,cv,imse,3.1837467053556793e-07,1.4963609515171693e-05
6,low,cv,imae,7.663789390294118e-09,5.517928361011765e-07
6,low,cv,maxerr,2.3686338716062854e-15,3.197655726668485e-13
6,low,loocv,imse,6.704368865821068e-10,5.6987135359479075e-08
6,low,loocv,imae,9.063180994667072e-11,8.79128556482706e-09
6,low,loocv,maxerr,2.6478232733824004e-16,3.7069525827353604e-14
6,low,silverman,imse,1.0649929477672248e-22,1.5655396332178203e-20
6,low,silverman,imae,2.749410865138214e-25,4.2615868409642313e-23
6,low,silverman,maxerr,5.5753283407236175e-28,8.976278628565024e-26
6,moderate,cv,imse,2.2951915025387833e-08,1.354162986497882e-06
6,moderate,cv,imae,2.673680505821179e-10,2.4330492602972727e-08
6,moderate,cv,maxerr,8.258914385252354e-11,8.17632524139983e-09
6,moderate,loocv,imse,2.975674588799079e-06,0.00011009995978556592
6,moderate,loocv,imae,1.3454921561645301e-08,8.745699015069446e-07
6,moderate,loocv,maxerr,1.6669135200080757e-11,1.7335900608083987e-09
6,moderate,silverman,imse,3.6748745979254686e-13,4.3731007715313075e-11
6,moderate,silverman,imae,4.31188516343636e-17,6.122876932079631e-15
6,moderate,silverman,maxerr,4.0758013687743424e-21,5.95066999841054e-19
