true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
6,moderate,3441,3,0.5714285714285714,0.42857142857142855,"[1.856973830141794, 8.235570870609648, -22.68993097445989, 23.452370082189866]"
6,moderate,3442,4,0.6666666666666666,0.3333333333333333,"[25.06720461332169, -74.54899121019835, 212.68355479493502, -322.62500401500995, 194.98868392936262]"
6,moderate,3443,4,0.0,1.0,"[-9.947540522192806, 34.46643679664436, -113.15927868348561, 192.625670204155, -124.40998617528332]"
6,moderate,3444,3,0.5714285714285714,0.42857142857142855,"[3.9857597699278156, -1.8316901187051737, -10.86771448432446, 20.755563023817313]"
6,moderate,3445,2,0.3333333333333333,0.6666666666666666,"[4.149102717745736, 6.109837555972055, 6.063027837341228]"
6,moderate,3446,2,0.5,0.5,"[-3.0750846963414014, -3.688198815725664, -4.3010887460086105]"
6,moderate,3447,2,0.2,0.8,"[2.2261483982901886, -0.10849803665214877, -10.207756684038344]"
6,moderate,3448,2,0.5,0.5,"[1.6943405167428758, 4.129822595391645, 5.3353678739963755]"
6,moderate,3449,3,0.8,0.2,"[26.241286577451195, -42.48090217529715, 75.64232722176487, -32.42470399369587]"
6,moderate,3450,3,0.0,1.0,"[0.3965101217422558, 11.862174295234599, -22.853356727399742, 21.924996057847725]"
6,moderate,3451,2,0.8,0.2,"[-5.802757032105736, -12.150446143994083, 20.239876017878267]"
6,moderate,3452,2,0.3333333333333333,0.6666666666666666,"[-8.210882712435724, -2.0858054802041237, 9.818570233880337]"
6,moderate,3453,2,0.5,0.5,"[-2.6444352205959185, -1.9328704428740542, -8.59329482670712]"
6,moderate,3454,2,0.8,0.2,"[-2.2045022721058305, -6.797870107414438, 18.318789965890367]"
6,moderate,3455,3,0.42857142857142855,0.5714285714285714,"[22.566714831044038, -21.202531698832644, -18.079618816751733, 35.808523910210674]"
6,moderate,3456,4,1.0,0.0,"[-7.103039538543872, -12.875411163736318, 114.29858286339278, -216.48282146562522, 139.06749499305462]"
6,moderate,3457,3,0.2,0.8,"[-3.077791128582982, -10.516027992486293, 40.56973966783376, -24.15804259699856]"
6,moderate,3458,3,0.8,0.2,"[12.57348178403332, -3.5151557735775616, -67.3068595083696, 86.812630823266]"
6,moderate,3459,3,0.5714285714285714,0.42857142857142855,"[4.773715814903816, 5.5191117813572, -49.198377175508554, 53.14547044806585]"
6,moderate,3460,4,0.42857142857142855,0.5714285714285714,"[23.868156611701746, -16.956384833662543, 104.74868301339878, -229.171233730056, 139.5410863599074]"
6,moderate,3461,3,0.42857142857142855,0.5714285714285714,"[11.802397752245108, -6.904314569603085, 37.815087691787845, -48.356002085024535]"
6,moderate,3462,2,0.0,1.0,"[3.853065798389944, -12.313945873935664, 19.957427707915535]"
6,moderate,3463,3,0.0,1.0,"[-5.399013459994626, 4.016786793552616, -39.29253116771612, 45.19682029351929]"
6,moderate,3464,3,0.3333333333333333,0.6666666666666666,"[-6.851666920310093, 0.8828565718765715, -4.858237167410112, 19.549655419197855]"
6,moderate,3465,2,0.5,0.5,"[-14.420913949698, 14.958410464433566, -5.355277404194818]"
6,moderate,3466,3,0.5714285714285714,0.42857142857142855,"[-6.5393258621628085, 7.956021338480804, -13.114369521778404, 18.39694718212464]"
6,moderate,3467,3,0.2,0.8,"[14.267343007410899, 34.03654978606256, -65.04451384023386, 46.19439947421428]"
6,moderate,3468,3,0.5,0.5,"[-61.45618517330638, -4.668823733310532, -30.83837746251743, 47.30123004183192]"
6,moderate,3469,3,0.0,1.0,"[-6.54481028229332, 5.948601451154154, -12.764843751828113, 18.561621490971106]"
6,moderate,3470,3,0.3333333333333333,0.6666666666666666,"[-7.453032894127971, -15.622688056565329, 37.23946950697554, -34.61262558180948]"
6,moderate,3471,2,0.8,0.2,"[2.110842710764067, 7.22341990803706, -17.049229970822392]"
6,moderate,3472,3,0.5,0.5,"[-6.131321447401091, -0.7182592490686449, 39.66714558209847, -39.182518096135325]"
6,moderate,3473,2,0.0,1.0,"[-2.598029079237717, -0.8373774165546408, -7.653281174179254]"
6,moderate,3474,2,0.0,1.0,"[9.58978139627104, -1.4234139737694629, -12.618843562258137]"
6,moderate,3475,4,0.0,1.0,"[-27.888191926886602, 24.158660977071076, -42.17920198404652, -52.11431862642709, 87.62372766194136]"
