true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
1,high,3828,1,0.8,0.2,"[-5.291490532762111, 9.923715373254304]"
1,high,3829,1,0.2,0.8,"[-2.4717424574313127, -7.3726530916221344]"
1,high,3830,1,0.3333333333333333,0.6666666666666666,"[1.7313519467571323, -8.42933651293241]"
1,high,3831,1,0.5,0.5,"[-11.44540413169048, 7.8758446923733505]"
1,high,3832,1,0.5714285714285714,0.42857142857142855,"[7.819321063697898, 7.781253219637331]"
1,high,3833,1,0.6666666666666666,0.3333333333333333,"[5.811737594269801, 5.422181946978727]"
1,high,3834,1,0.42857142857142855,0.5714285714285714,"[-12.26563337877607, -5.0016597689148385]"
1,high,3835,1,0.8,0.2,"[-2.0195002711702448, 7.135222963997752]"
1,high,3836,1,0.6666666666666666,0.3333333333333333,"[5.494113332729162, -3.8546012072573]"
1,high,3837,1,0.42857142857142855,0.5714285714285714,"[-4.92494559999528, -10.194271119210796]"
1,high,3838,1,0.6666666666666666,0.3333333333333333,"[8.504247625705297, 8.131243729141916]"
1,high,3839,1,0.0,1.0,"[-4.498639891945213, 7.321593471228499]"
1,high,3840,1,0.42857142857142855,0.5714285714285714,"[-4.629020629618981, 7.235060432248469]"
1,high,3841,1,0.42857142857142855,0.5714285714285714,"[13.290453320570727, 8.517346801961198]"
1,high,3842,2,0.42857142857142855,0.5714285714285714,"[-6.366052499485732, 1.6386053488377847, 6.9670572171051]"
1,high,3843,1,0.5714285714285714,0.42857142857142855,"[5.454249878317307, 4.800209429214273]"
1,high,3844,1,0.5,0.5,"[7.989333293296215, 4.966052843141273]"
1,high,3845,1,0.0,1.0,"[12.270752280431164, -6.135442319476685]"
1,high,3846,2,0.0,1.0,"[-4.695661240601641, 1.3436511011952412, 6.2798342551109405]"
1,high,3847,5,0.5,0.5,"[-9.598953891164706, -72.16499340398272, 414.5138507785789, -911.4983055030008, 876.348436288206, -304.84897751710326]"
1,high,3848,1,0.42857142857142855,0.5714285714285714,"[-4.677759265932003, 5.897358509571833]"
1,high,3849,1,1.0,0.0,"[-4.193043494958252, -5.7386719241996085]"
1,high,3850,1,0.6666666666666666,0.3333333333333333,"[13.728602129500759, 6.3292272112282415]"
1,high,3851,2,0.5,0.5,"[4.478593941549705, 9.777888032379085, -3.1255430961367043]"
1,high,3852,2,0.5,0.5,"[6.140686257385328, 10.761694960172035, -2.7691910727911075]"
1,high,3853,1,0.8,0.2,"[-4.242751264643355, -5.896150411892183]"
1,high,3854,1,0.5,0.5,"[-6.090131751937775, 6.783363302347657]"
1,high,3855,2,1.0,0.0,"[4.867904583574718, 13.604849479343128, -5.671097208379002]"
1,high,3856,1,0.2,0.8,"[6.519764341788603, -7.8823027161556825]"
1,high,3857,1,0.5714285714285714,0.42857142857142855,"[6.0431207154832025, -6.052143547674504]"
1,high,3858,1,0.8,0.2,"[-7.660974974727242, -6.045760481835899]"
1,high,3859,1,0.5,0.5,"[-13.759987957122725, 8.42298234708544]"
1,high,3860,1,0.0,1.0,"[-9.523289818424324, 6.713536688823531]"
1,high,3861,1,0.2,0.8,"[40.6527215183337, 13.458986053042102]"
1,high,3862,1,0.5,0.5,"[5.485036617268273, -5.949758998485939]"
1,high,3863,1,0.8,0.2,"[-8.743377888825636, 5.219536217375467]"
1,high,3864,1,0.5,0.5,"[-12.514084187467445, 6.097716226350127]"
1,high,3865,1,0.3333333333333333,0.6666666666666666,"[-18.877138168510225, 9.813634475439827]"
1,high,3866,1,0.5,0.5,"[8.299894066192984, 8.078082409973941]"
1,high,3867,1,0.42857142857142855,0.5714285714285714,"[9.035379660230868, 5.425289526062877]"
1,high,3868,2,0.0,1.0,"[-6.076046005548977, -3.1762845341808816, -3.611310963904684]"
1,high,3869,1,0.5,0.5,"[-2.1578707930277745, -7.746408614379076]"
1,high,3870,1,0.5,0.5,"[6.305733467895449, 7.856938009917894]"
1,high,3871,1,0.5714285714285714,0.42857142857142855,"[3.8100667421984573, 5.333136576978737]"
1,high,3872,1,0.0,1.0,"[10.677070066998992, -7.894825720973373]"
1,high,3873,1,0.8,0.2,"[1.7753073966177504, 4.8693689636983954]"
1,high,3874,1,0.42857142857142855,0.5714285714285714,"[8.683800078565072, 10.476734828378794]"
1,high,3875,1,0.5714285714285714,0.42857142857142855,"[5.5982814178991696, -5.848798513010895]"
1,high,3876,1,0.5714285714285714,0.42857142857142855,"[7.100645132171237, -6.31778267484464]"
1,high,3877,1,0.3333333333333333,0.6666666666666666,"[5.454984932249413, -5.142003824583222]"
