degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,bandwidth_mean,bandwidth_std,n_used,n_total,n_removed
4,high,cv,0.19987165988413777,0.008645194058235644,0.33633640338927895,0.007299066943845894,0.6129818595142303,0.019967209006053418,1.8146196138662092,5.837890592423975,272,300,28
4,high,loocv,0.19512993946608645,0.008079447310795256,0.33490683746142386,0.0072197192629444296,0.5953406074006685,0.019601273709932164,2.2293087235617817,6.5239331383443515,270,300,30
4,high,silverman,0.16415198540425166,0.007492712994498535,0.31255912145365733,0.007877112850300884,0.5167033200588256,0.017125796945432443,0.15222972845976104,0.013345224905491976,264,300,36
4,low,cv,0.24920070279478487,0.010598774258241631,0.3793303234878385,0.008545246604992288,0.677018978310934,0.020534682542945527,1.0452657861030457,4.516291088215488,271,300,29
4,low,loocv,0.24299559127834197,0.009844550157074552,0.3761771667622274,0.00818516164008974,0.6743782100880169,0.02045749368784794,1.079184758451653,4.523296128756988,270,300,30
4,low,silverman,0.37556197878694275,0.021048042624249863,0.4616076401937768,0.014127171514887897,0.7972951978545055,0.029044472636987888,0.15172807923408144,0.013042242544960298,273,300,27
4,moderate,cv,0.223860541006874,0.010245312594627595,0.3533822547025801,0.008749712249601978,0.6171057301970774,0.020131383920488962,2.0602731328697828,6.312272345617646,269,300,31
4,moderate,loocv,0.220067707044999,0.009976773578232062,0.34915121625649675,0.008442537967033753,0.6213153662087516,0.021318580127494484,1.9935779064999768,6.237820423716096,270,300,30
4,moderate,silverman,0.2663854474103263,0.014439759756396442,0.38211876029456143,0.01148961899224555,0.6703807193807827,0.02398299227044357,0.15220473787860708,0.013624153938160357,280,300,20
5,high,cv,0.21564441998244718,0.008785453613275112,0.3492304209841703,0.00785118700244528,0.6045465932126054,0.01927628877512692,1.6788323674988475,5.692073117490916,273,300,27
5,high,loocv,0.2123813416928423,0.009096235778029331,0.3446911113530773,0.00803190031307269,0.5893827979449145,0.018653370753084833,1.6984715658610636,5.785145085755042,266,300,34
5,high,silverman,0.20968988825020501,0.009366198812657973,0.3456901510363599,0.008439124596571238,0.5665035314252196,0.01898499365647804,0.1520600628264223,0.012236831211371932,278,300,22
5,low,cv,0.26231674860419824,0.011128905054375424,0.38532435656183567,0.008088485712474898,0.7231399270972323,0.023203856267038563,1.1436496415742334,4.749713781371256,259,300,41
5,low,loocv,0.29868396583424034,0.013466019603638989,0.4058187417702661,0.00898740310601833,0.7453766606638319,0.024595412103610364,0.9740158000848694,4.382141179156567,268,300,32
5,low,silverman,0.481599854529442,0.025713849269351594,0.5209313905488476,0.014608258663759007,0.9631924441712338,0.030695532797871163,0.1533591746621592,0.01271486866985531,272,300,28
5,moderate,cv,0.24008348409400687,0.010116884942367748,0.3632748483174795,0.007560913984856093,0.653566040523181,0.021042477301808082,1.8316806280700715,5.982319309999424,268,300,32
5,moderate,loocv,0.21720490686163205,0.008425133968155255,0.3480541992444142,0.00672135850589199,0.6379127968228981,0.019896746831615537,1.554370049405658,5.501341267459332,263,300,37
5,moderate,silverman,0.26802067305631166,0.012910118408368332,0.39391964691437087,0.009779607231918687,0.7020470484312562,0.02223666603564257,0.15335843636325464,0.01366140687214897,270,300,30
6,high,cv,0.207338680942371,0.008230984470167414,0.34557951216579735,0.007430907905209705,0.6032861568851862,0.01896667059297123,1.715200625434015,5.844593153804909,269,300,31
6,high,loocv,0.1994838706325611,0.008193004635949299,0.33798204948493044,0.007431292510419135,0.5879053945798113,0.018194523612075537,1.9188516781545095,6.174583616133305,263,300,37
6,high,silverman,0.21037115776795773,0.00910609635604113,0.348972288674302,0.008579235995858461,0.5863922714825882,0.01996918978044811,0.15248954945302237,0.012855337032945748,268,300,32
6,low,cv,0.30264687868134194,0.012988954760178988,0.4036626185632409,0.007904362572032886,0.7187095141959213,0.01995838525570124,0.872330665520343,4.21095471565084,253,300,47
6,low,loocv,0.3014834460539318,0.011860302286367213,0.4038582775571171,0.007470441170628762,0.7350481626241613,0.021361618815923796,1.117438095833991,4.887803459309797,260,300,40
6,low,silverman,0.6589676832419263,0.03588641116881767,0.5789075426192463,0.01615829918005609,1.103573057249602,0.03906223813538994,0.15135719338025064,0.013246360466241032,275,300,25
6,moderate,cv,0.24999877678150273,0.00994003385872666,0.3751622499826388,0.00767006963476176,0.6464128461451121,0.018631283250677252,0.9568002639184541,4.271737858067785,274,300,26
6,moderate,loocv,0.24238579287940953,0.009351156147937278,0.3700861041294566,0.007583801651587946,0.6520591778341329,0.019234129335231238,0.9347024138266291,4.233480754273929,272,300,28
6,moderate,silverman,0.3245825590501651,0.015835099431300344,0.4266065610488281,0.010703163201402893,0.772837034401849,0.0247458391660259,0.15072742624317334,0.01216341425827625,271,300,29
